Search Name,Band Name,URL,Match Type
Dagorlad,Dagorlad (a.k.a. DagorLad) ,https://www.metal-archives.com/bands/Dagorlad/86371,exact
Dagorlad,Dagorlad  ,https://www.metal-archives.com/bands/Dagorlad/111964,exact
Dagorlad,Agarwaen Dagorlad  ,https://www.metal-archives.com/bands/Agarwaen_Dagorlad/112946,exact
Dagorlad,Into Dagorlad  ,https://www.metal-archives.com/bands/Into_Dagorlad/23750,exact
Dagorlad,"Terra Sur (a.k.a. Dagorlad, Terrasur) ",https://www.metal-archives.com/bands/Terra_Sur/23404,exact
Dagornuingiliath,No match found,,none
Dains,No match found,,none
Dairuin,No match found,,none
Dalemen,No match found,,none
Damrod,No match found,,none
Danwedh,No match found,,none
Daro,Caballo Salvaje (a.k.a. Daro Caballo) ,https://www.metal-archives.com/bands/Caballo_Salvaje/3540440001,exact
Dath,Em Dath Rir  ,https://www.metal-archives.com/bands/Em_Dath_Rir/20824,exact
Dath,"Goredath (a.k.a. GoreDeth, GoreDath, GoreDeath) ",https://www.metal-archives.com/bands/Goredath/3540497995,exact
Dbin,No match found,,none
Deadmens,"Dead Men's Requiem (a.k.a. DeadMens Requiem, DeadMans DeadMan's DeadMen's Requiem) ",https://www.metal-archives.com/bands/Dead_Men%27s_Requiem/3540339653,exact
Deadmens,"Dead Men's Diner (a.k.a. Dead Mens Diner, Deadmen's Deadmens, DeadMan's DeadMans Diner) ",https://www.metal-archives.com/bands/Dead_Men%27s_Diner/3540355617,exact
Dearbought,No match found,,none
Deepelves,No match found,,none
Deepingcoomb,No match found,,none
Deepingstream,No match found,,none
Deldumth,No match found,,none
Delduwath,No match found,,none
Denethor,Denethor  ,https://www.metal-archives.com/bands/Denethor/56149,exact
Denethor,Denethor  ,https://www.metal-archives.com/bands/Denethor/100966,exact
Derndingle,No match found,,none
Dernhelm,No match found,,none
Derufin,No match found,,none
Dervorin,No match found,,none
Dimbar,No match found,,none
Dimen,No match found,,none
Dimholt,Dimholt  ,https://www.metal-archives.com/bands/Dimholt/101796,exact
Dimrill,No match found,,none
Dimrost,No match found,,none
Dinen,No match found,,none
Diors,No match found,,none
Dirhavel,No match found,,none
Dirnen,No match found,,none
Djagol,No match found,,none
Djor,No match found,,none
Djorwine,No match found,,none
Dlnen,No match found,,none
Dmrves,No match found,,none
Dnadan,No match found,,none
Dnedain,No match found,,none
Dnhere,No match found,,none
Dnnen,No match found,,none
Dolmed,No match found,,none
Dolmednei,No match found,,none
Dorcuarthol,No match found,,none
Dorfimiguinar,No match found,,none
Doriath,Doriath  ,https://www.metal-archives.com/bands/Doriath/111625,exact
Dorlas,No match found,,none
Dorlomin,No match found,,none
Dornu,No match found,,none
